,precision,recall,f1-score,support
BENIGN,0.9999970640046976,0.9990159400119378,0.9995062612384259,681869.0
Brute Force,0.2191519771319676,0.9973500361358709,0.3593438069612013,4151.0
DDoS,0.9310213102676744,0.8883826286190377,0.9092023395552713,38408.0
DoS,0.9386628370831339,0.7760890788675163,0.8496692376577982,75798.0
Port Scan,0.9815651098051346,0.9983640596489021,0.9898933183604717,47679.0
accuracy,0.9740312888825988,0.9740312888825988,0.9740312888825988,0.9740312888825988
macro avg,0.8140796596585215,0.9318403486566529,0.8215229927546336,847905.0
weighted avg,0.9865305346392357,0.9740312888825988,0.9783465917134746,847905.0
