Tecnica,Train_Samples,Accuracy,F1_Macro,F1_Weighted,Precision_Macro,Recall_Macro,Train_Time
Original,1978442,0.9761423744405329,0.8303729708255332,0.9797261908488318,0.8190674407775583,0.9356809451611175,0:02:46.070792
GAN_v2,2079139,0.9781425985222401,0.8406304798981912,0.9810343973522692,0.8252912833203041,0.9400194004258996,0:02:59.362136
SMOTE,2079139,0.9760810468153862,0.8300922964481006,0.9797464683921098,0.8191157613287604,0.9359674472835126,0:02:41.378352
ADASYN,2078258,0.9664714797058632,0.7939034432461852,0.9731269808659635,0.8022279252644033,0.9139460850908572,0:02:57.814719
BorderlineSMOTE,2079139,0.9740312888825988,0.8215229927546336,0.9783465917134746,0.8140796596585215,0.9318403486566529,0:02:27.852823
SMOTE_ENN,2055439,0.9758097900118528,0.8295263521776957,0.9793366478262873,0.8179413804159301,0.9343768188202585,0:03:11.434466
RandomOverSampler,2079139,0.9759583915650928,0.829831193446319,0.9795352517495762,0.8184233695888133,0.9352369888270597,0:02:57.388258
