,precision,recall,f1-score,support
BENIGN,0.9999970646941412,0.9992505891894191,0.9996236875829373,681869.0
Brute Force,0.24131701631701633,0.9975909419417008,0.3886255924170616,4151.0
DDoS,0.9343960928496955,0.8866642366173714,0.9099046143158682,38408.0
DoS,0.9382936446334875,0.7974220955698039,0.8621412677583158,75798.0
Port Scan,0.9815749881494611,0.998909373099268,0.9901663201663201,47679.0
accuracy,0.9760810468153862,0.9760810468153862,0.9760810468153862,0.9760810468153862
macro avg,0.8191157613287604,0.9359674472835126,0.8300922964481006,847905.0
weighted avg,0.9867594672878915,0.9760810468153862,0.9797464683921098,847905.0
