,BENIGN,Brute Force,DDoS,DoS,Port Scan
BENIGN,681356,19,45,120,329
Brute Force,0,4141,0,0,10
DDoS,2,524,33692,4186,4
DoS,0,12144,2510,60614,530
Port Scan,0,15,24,49,47591
