,BENIGN,Brute Force,DDoS,DoS,Port Scan
BENIGN,681372,96,12,68,321
Brute Force,0,4145,0,0,6
DDoS,2,334,33786,4282,4
DoS,0,10498,2306,62454,540
Port Scan,0,14,25,25,47615
