,BENIGN,Brute Force,DDoS,DoS,Port Scan
BENIGN,681424,9,15,91,330
Brute Force,0,4141,0,0,10
DDoS,2,539,33960,3903,4
DoS,0,12271,2425,60540,562
Port Scan,2,14,24,28,47611
