,BENIGN,Brute Force,DDoS,DoS,Port Scan
BENIGN,681198,179,49,117,326
Brute Force,0,4140,0,1,10
DDoS,2,595,34121,3686,4
DoS,0,13963,2455,58826,554
Port Scan,0,14,24,40,47601
