,precision,recall,f1-score,support
BENIGN,0.999997064754452,0.9992711209924487,0.9996339610766386,681869.0
Brute Force,0.27473984224829323,0.9985545651650205,0.4309179748414596,4151.0
DDoS,0.9351490492402226,0.8796604873984587,0.9065564753075653,38408.0
DoS,0.9345344087147796,0.8239531386052402,0.8757668604121239,75798.0
Port Scan,0.9820360516437735,0.9986576899683298,0.990277127853169,47679.0
accuracy,0.9781425985222401,0.9781425985222401,0.9781425985222401,0.9781425985222401
macro avg,0.8252912833203041,0.9400194004258996,0.8406304798981912,847905.0
weighted avg,0.9866470705250363,0.9781425985222401,0.9810343973522692,847905.0
