,precision,recall,f1-score,support
BENIGN,0.9999941297415178,0.9993077849264301,0.9996508395255526,681869.0
Brute Force,0.24393261074458059,0.9975909419417008,0.3920102238841293,4151.0
DDoS,0.9303479858502207,0.8833315975838367,0.9062303839732888,38408.0
DoS,0.9363972923153182,0.7975276392516953,0.861401446332514,75798.0
Port Scan,0.9814448292924295,0.9984269804316366,0.9898630735161099,47679.0
accuracy,0.9759583915650928,0.9759583915650928,0.9759583915650928,0.9759583915650928
macro avg,0.8184233695888133,0.9352369888270597,0.829831193446319,847905.0
weighted avg,0.98640970030747,0.9759583915650928,0.9795352517495762,847905.0
