,precision,recall,f1-score,support
BENIGN,0.9999941299741132,0.9993473819751301,0.9996706513694374,681869.0
Brute Force,0.24396135265700483,0.9975909419417008,0.39204733727810653,4151.0
DDoS,0.9323522951899846,0.8841907935846699,0.9076330981398332,38408.0
DoS,0.9377032929587064,0.7987018127127364,0.8626389284696495,75798.0
Port Scan,0.9813261331079828,0.9985737955913505,0.9898748388706391,47679.0
accuracy,0.9761423744405329,0.9761423744405329,0.9761423744405329,0.9761423744405329
macro avg,0.8190674407775583,0.9356809451611175,0.8303729708255332,847905.0
weighted avg,0.9866107061993906,0.9761423744405329,0.9797261908488318,847905.0
