,BENIGN,Brute Force,DDoS,DoS,Port Scan
BENIGN,681418,12,27,84,328
Brute Force,0,4140,0,1,10
DDoS,2,1087,33940,3375,4
DoS,0,20394,2485,52377,542
Port Scan,0,25,24,29,47601
