,precision,recall,f1-score,support
BENIGN,0.999997064952599,0.9993385826309745,0.999667715356025,681869.0
Brute Force,0.16135318419206485,0.9973500361358709,0.27776845919017745,4151.0
DDoS,0.9304748327667507,0.8836700687356801,0.9064686715453234,38408.0
DoS,0.9375469874342176,0.6910076783028576,0.7956161137440758,75798.0
Port Scan,0.9817675569763844,0.9983640596489021,0.9899962563953246,47679.0
accuracy,0.9664714797058632,0.9664714797058632,0.9664714797058632,0.9664714797058632
macro avg,0.8022279252644033,0.9139460850908572,0.7939034432461852,847905.0
weighted avg,0.9861344549557629,0.9664714797058632,0.9731269808659635,847905.0
