,BENIGN,Brute Force,DDoS,DoS,Port Scan
BENIGN,681397,10,27,111,324
Brute Force,0,4141,0,0,10
DDoS,2,515,33927,3960,4
DoS,0,12296,2489,60451,562
Port Scan,2,14,24,35,47604
