,precision,recall,f1-score,support
BENIGN,0.9999970646855251,0.9992476560747006,0.9996222199237544,681869.0
Brute Force,0.24585881375051952,0.9975909419417008,0.3944936648566257,4151.0
DDoS,0.9288963634859805,0.8772130806082066,0.9023152425715395,38408.0
DoS,0.9329680309070479,0.7996780917702314,0.8611961610320601,75798.0
Port Scan,0.9819866292505778,0.9981543237064536,0.9900044725044985,47679.0
accuracy,0.9758097900118528,0.9758097900118528,0.9758097900118528,0.9758097900118528
macro avg,0.8179413804159301,0.9343768188202585,0.8295263521776957,847905.0
weighted avg,0.9860796448510539,0.9758097900118528,0.9793366478262873,847905.0
