,BENIGN,Bot,Brute Force,DDoS,DoS,Port Scan,Web Attack
BENIGN,159892,423,0,2,17,168,0
Bot,137,0,0,0,0,0,0
Brute Force,0,0,685,0,268,1,0
DDoS,0,0,0,462,8644,1,0
DoS,0,0,49,35,17644,133,0
Port Scan,4,0,0,0,25,11272,0
Web Attack,0,0,1,0,15,122,0
