,BENIGN,Bot,Brute Force,DDoS,DoS,Port Scan,Web Attack
BENIGN,114677,9,1,18966,13814,13034,1
Bot,38,20,0,15,0,64,0
Brute Force,0,0,943,4,4,3,0
DDoS,3,0,0,7315,1788,1,0
DoS,31,0,0,848,16229,749,4
Port Scan,107,0,44,3,31,11112,4
Web Attack,6,0,0,0,70,62,0
