,precision,recall,f1-score,support
ATTACK,0.8715628724014653,0.9998987290495721,0.9313304721030042,39498.0
BENIGN,0.999974141163389,0.9637387696103475,0.9815221391677348,160502.0
accuracy,0.97088,0.97088,0.97088,0.97088
macro avg,0.9357685067824272,0.9818187493299598,0.9564263056353695,200000.0
weighted avg,0.9746141996955966,0.97088,0.971609786839121,200000.0
