,precision,recall,f1-score,support
ATTACK,0.8985906513968261,0.999215150134184,0.9462352701422937,39498.0
BENIGN,0.9998013826331538,0.972249566983589,0.985833009561534,160502.0
accuracy,0.977575,0.977575,0.977575,0.977575
macro avg,0.94919601701499,0.9857323585588865,0.9660341398519139,200000.0
weighted avg,0.9798132753212915,0.977575,0.9780128520036282,200000.0
