,precision,recall,f1-score,support
ATTACK,0.9982561225263478,1.0,0.9991273003225194,39498.0
BENIGN,1.0,0.999570098814968,0.9997850031937932,160502.0
accuracy,0.999655,0.999655,0.999655,0.999655
macro avg,0.9991280612631739,0.999785049407484,0.9994561517581563,200000.0
weighted avg,0.9996556016377284,0.999655,0.9996551134537452,200000.0
