,BENIGN,Bot,Brute Force,DDoS,DoS,Port Scan,Web Attack
BENIGN,158839,1533,0,0,23,106,1
Bot,0,137,0,0,0,0,0
Brute Force,0,0,954,0,0,0,0
DDoS,0,0,0,8184,919,0,4
DoS,0,0,0,4,17192,0,665
Port Scan,1,0,25,0,17,11228,30
Web Attack,0,0,0,0,5,0,133
