,BENIGN,Bot,Brute Force,DDoS,DoS,Port Scan,Web Attack
BENIGN,159408,1002,0,0,24,68,0
Bot,0,137,0,0,0,0,0
Brute Force,0,0,954,0,0,0,0
DDoS,0,0,0,6304,2799,0,4
DoS,0,0,0,0,17453,0,408
Port Scan,0,0,18,0,21,11212,50
Web Attack,0,0,0,0,6,0,132
