,precision,recall,f1-score,support
ATTACK,0.9473759953948,1.0,0.9729769676068482,39498.0
BENIGN,1.0,0.986330388406375,0.9931181581506227,160502.0
accuracy,0.98903,0.98903,0.98903,0.98903
macro avg,0.9736879976974,0.9931651942031875,0.9830475628787354,200000.0
weighted avg,0.9896072853305191,0.98903,0.9891404744301326,200000.0
